,宣传平台,活动分类,组织名称,联系方式,活动类型,具体活动,活动链接,针对用户群体,活动时间,活动频率,活动场地,活动价格,活动收藏量,浏览量
16,活动行-生活,文艺,,,,深业音乐厅 |“什么平行时空”多媒体音乐会,https://www.huodongxing.com/event/8591542159900?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,04月24日15:00,,广东深圳福田区笋岗西路与彩田路交叉路口东北侧(深业上城)深业上城小剧场,,,3630
17,活动行-生活,文艺,,,,深业映像 | 《梦响唐人街》深圳线下首映：少年视角中的海外华人生活,https://www.huodongxing.com/event/4595653719900?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,05月16日19:00,,广东深圳福田区笋岗西路与彩田路交叉路口东北侧(深业上城)深业上城小剧场,,,2316
18,活动行-生活,文艺,,,#李旻#插画#展览,此岸的日月:李旻个人插画展,https://www.huodongxing.com/event/2591646234800?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,04月10日10:30,,广东深圳南头古城中山南街71号阿哩哩艺术馆(九街糖水旁),,,2337
19,活动行-生活,文艺,,,#电影#展映#独立,「No Theater 不在放映厅」主题展映,https://www.huodongxing.com/event/4592483224900?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,04月17日19:30,,广东深圳福田区笋岗西路深业上城CEEC(Loft-D4)4楼腾讯WeSpace(深圳),,,2443
20,活动行-生活,文艺,,,#威士忌,假如我们的语言就是威士忌——《到艾莱岛喝威士忌》新书分享品鉴会,https://www.huodongxing.com/event/1597845504100?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,05月23日15:00,,"广东深圳皇岗路5001号深业上城小镇L3层T3013,T3030,T3065铺本来书店(深业上城店)",,,728
21,活动行-生活,文艺,,,#电影#心理,电影《三生万物》内部观影分享会,https://www.huodongxing.com/event/5597271009800?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,05月22日15:00,,"广东深圳皇岗路5001号深业上城小镇L3层T3013,T3030,T3065铺本来书店(深业上城店)",,,1072
22,活动行-生活,文艺,,,,NIUREADING英语沙龙第6期 | 你最喜欢的一本英文书,https://www.huodongxing.com/event/5593404986800?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,04月18日15:00,,广东深圳南山区西丽街道打石二路万科里大厦A栋13楼中空区域,,,983
23,活动行-生活,文艺,,,,何香凝美术馆 传统书画（人物）工作坊,https://www.huodongxing.com/event/1597665883900?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,05月16日10:00,,广东深圳南山区深南大道9013号何香凝美术馆,,,1106
24,活动行-生活,文艺,,,,第一期《中华诗词会》深圳站,https://www.huodongxing.com/event/6592476768600?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,04月10日14:00,,广东深圳宝安区航空路与顺昌路交汇处泰华梧桐岛,,,1363
25,活动行-生活,文艺,,,#创业#演讲#沙龙,【深系·森林】一场与木质香的约会 | 香氛生活展,https://www.huodongxing.com/event/8597380154300?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,05月15日10:30,,广东深圳福田区白石路与红树林路交叉路口往北约100米(人才园),,,147
26,活动行-生活,文艺,,,#才艺#音乐#唱歌,唱爽一夏【零基础成人学唱歌】 声乐课程唱歌五音不全怎么办？,https://www.huodongxing.com/event/5594792133012?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,04月23日12:00,,广东深圳福田区车公庙地铁站-C口,,,439
27,活动行-生活,文艺,,,#女性创业者#美装爱好者#诗词爱好者,中华诗词会 — 走进民国,https://www.huodongxing.com/event/1597236083100?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,05月20日14:00,,广东深圳宝安区泰华梧桐岛5B栋ladyboss公司,,,727
28,活动行-生活,文艺,,,#读书#手艺#品酒,读书品鉴会 | 当匠心碰撞威士忌，在时间里品鉴心境,https://www.huodongxing.com/event/4592516158400?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,04月10日15:00,,广东深圳南山区华侨城香山东街创意文化园北区B1栋101号B.Park绽放花园,,,652
29,活动行-生活,文艺,,,#家庭#电影,5.30 飞地观影会：儿童节专题《农情家园》放映交流,https://www.huodongxing.com/event/3599854946800?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,05月30日15:00,,广东深圳欢乐海岸购物商场2楼飞地书局,,,166
30,活动行-生活,文艺,,,#沉浸体验#身心合一#自我感知,【新奇体验】诗歌+冥想，不一样的减压 ——世界读书日活动,https://www.huodongxing.com/event/9593780254300?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,04月23日19:30,,广东深圳南山区兴华路6号南海意库1栋111室专壹·山行书屋,,,972
31,活动行-生活,文艺,,,#家庭#电影,6.06 飞地观影会：儿童节专题《农情家园》放映交流,https://www.huodongxing.com/event/1599856215700?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,06月06日19:30,,广东深圳欢乐海岸购物商场2楼飞地书局,,,320
32,活动行-生活,文艺,,,,虎众音乐流行声乐体验课,https://www.huodongxing.com/event/3598410600512?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,05月23日14:30,,广东深圳宝安区宝星智荟城1号楼13楼会议室,,,47
33,活动行-生活,文艺,,,#日本#和服#日语,日本和服体验+日本外教文化课,https://www.huodongxing.com/event/3596083223812?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,05月02日15:00,,广东深圳福田区中航路7-1号鼎诚大厦,,,237
